Record ID,Company name,Website URL,Country/Region,City
51974709078,Zaika Restaurant,zaikarestaurant.no,Norway,Oslo
52064292267,Yummy Sushi & Wok,yummysushi.no,Norway,Oslo
52063872160,Ypsilon Bar & Event,ypsilonbar.com,Norway,Oslo
52031741785,Yeast,yeastoslo.no,Norway,Oslo
52206722439,Værnes bar,xn--vrnesbar-j0a.no,Norway,Trondheim
52174825633,Hot Wok City,woksenter.no,Norway,Bergen
52044086796,Wok N Roll,woknroll.no,Norway,Oslo
52065228967,Kråka Pub,wettrebryggeri.myshopify.com,Norway,Oslo
52002177107,Vulkan Oslo,vulkanoslo.no,Norway,Oslo
36630635894,Nesbyen Turist- og Næringsservice,visitnesbyen.no,Norway,Viken
52191081785,Vinbaren - Vin & Pintxos,vinbarenbergen.no,Norway,Bergen
52040817832,Villa Sandvigen,villasandvigen.no,Norway,Oslo
39303130783,Vesuvio Pizzeria,vesuviopizza.no,Norway,Oslo
36615910281,Vestnes Fjordhotell,vestnes-fjordhotell.no,Norway,Vestnes
52189068935,Vertshuset Konow,vertshusetkonow.no,Norway,Bergen
52002177108,Venus Café & Lounge,venusbar.no,Norway,Oslo
51983116970,Venue Bar & Restaurant,venue-oslo.no,Norway,Oslo
36619710588,Besøkssenter våtmark Oslo,vatmarkoslo.no,Norway,Oslo
52049532725,Vaterland Bar & Scene,vaterlandoslo.no,Norway,Oslo
36623885098,Valsøya,valsoya.no,Norway,Svolvaer
51988069936,Unik Sushi og roll,uniksushiogroll.no,Norway,Oslo
52038352972,Mr.Garden,undertaketoslo.no,Norway,Oslo
51969330320,Umami Sushi AS,umamisushioslo.no,Norway,Oslo
39506798404,Ulriken643,ulriken643.no,Norway,Bergen
52038198048,Tyrigrava grill,tyrigrava.no,Norway,Oslo
52066968167,TUNET Bar & bryggeri,tunetjessheim.no,Norway,Oslo
35108902206,Tromsø Accessible Tours AS,tromsoaccessibletours.com,Norway,Tromso
35111198517,Tregde Ferie,tregdeferie.no,Norway,Kristiansand
51976096382,tortas EL tommy,tortas.no,Norway,Oslo
52178697622,Tollbua - Restaurant,tollbua-trondheim.no,Norway,Trondheim
35111773834,Tilstede mat og mer,tilstedematogmer.no,Norway,Kristiansand
51984972033,Theka - Indian Street Food & Bar,theka.no,Norway,Oslo
36629397680,The Bolder Experience,thebolder.com,Norway,Stavanger
52172038540,Thaikarri thai,thaikarri.no,Norway,Bergen
52034897036,Taste of Asia,tasteofasia.no,Norway,Oslo
35115005354,TanumStrand SPA & Resort,tanumstrand.se,Norway,Grebbestad
51976717410,Tandoori Palace,tandooripalace.no,Norway,Oslo
51985447017,Taki Pizza og Grill,taki.no,Norway,Oslo
51984972034,Taj Mahal Drammen,tajmahal-drammen.no,Norway,Oslo
51978465457,U1,svff.no,Norway,Oslo
52022961415,Sushi Søstre Restaurant,sushisostre.no,Norway,Oslo
52186727430,Sushi Roll Sandviken,sushirollsandviken.no,Norway,Bergen
51986679650,Sushi House - Ski,sushihouseski.no,Norway,Oslo
51988226618,Sushi Tveita,sushi-thai.no,Norway,Oslo
51984972035,Sushi-Jentene AS,sushi-jentene.no,Norway,Oslo
52064181087,Stovner Senter,stovnersenter.no,Norway,Oslo
35103786240,Storefjell Resort Hotel,storefjell.no,Norway,Gol
52202707029,Hotell St Olav,stolav.no,Norway,Trondheim
35118637914,Kronen Hotels,st-svithun-hotell.no,Norway,Stavanger
39563375684,SSP Norway,ssp.no,Norway,Gardermoen
